

*********************************************
* Binary File Comparison Statistics Section *
*********************************************

   Flog.file                                                D:\SWMMandSoftware\SWMM5.013_June2018\EPASWMM5.1.013\Swmm5.1.013UpdateTests\Hydrology\9_Subs.inp.log
   FoutCompare.file                                         D:\SWMMandSoftware\SWMM5.013_June2018\EPASWMM5.1.013\Swmm5.1.013UpdateTests\v12\9_Subs.out
   Fout.file                                                D:\SWMMandSoftware\SWMM5.013_June2018\EPASWMM5.1.013\Swmm5.1.013UpdateTests\v13\9_Subs.out

   Fout.file Version                                        51013
   Fout.file MagicNumber                                    516114522
   Fout.file Flow units                                     0
   Fout.file Report Step                                    300
   Fout.file Nperiods                                       288
   Fout.file Starting file position of ID names             28
   Fout.file Starting file position of input data           523
   Fout.file Starting file position of output data          1435
   Fout.file number of bytes per time period                1284
   Fout.file Number of subcatchment output variables        8
   Fout.file Number of node output variables                6
   Fout.file Number of link output variables                5
   Fout.file Number of subcatchments reported on            9
   Fout.file Number of nodes reported on                    22
   Fout.file Number of links reported on                    20
   Fout.file Number of pollutants reported on               0

   FoutCompare.file Version                                 51011
   FoutCompare.file MagicNumber                             516114522
   FoutCompare.file Flow units                              0
   FoutCompare.file Nperiods                                288
   FoutCompare.file Starting file position of ID names      28
   FoutCompare.file Starting file position of input data    523
   FoutCompare.file Starting file position of output data   1435
   FoutCompare.file number of bytes per time period         1284
   FoutCompare.file Number of subcatchment output variables 8
   FoutCompare.file Number of node output variables         6
   FoutCompare.file Number of link output variables         5
   FoutCompare.file Number of subcatchments reported on     9
   FoutCompare.file Number of nodes reported on             22
   FoutCompare.file Number of links reported on             20
   FoutCompare.file Number of pollutants reported on        0

***********************************************
*Subcatchment Runoff Statistics Comparisons   *
***********************************************
  Subcatchment ID                    Mean Sim   Mean Obs       RMSE        MAE      MSLSE    STD Sim    STD Obs Skewn..Sim Skew...Obs  Kurt..Sim  Kurt..Obs    Index D           Log  NSE Nash-Sutcliffe
  CAT_1205                             1.1771     1.1771     0.0000     0.0000     0.0000     0.2260     0.2260     1.0000     0.0000     0.0000     0.0000     0.0000
  CAT_1216                             0.8107     0.8107     0.0000     0.0000     0.0000     0.1573     0.1573     1.0000     0.0000     0.0000     0.0000     0.0000
  CAT_1231                             0.1192     0.1192     0.0000     0.0000     0.0000     0.0238     0.0238     1.0000     0.0000     0.0000     0.0000     0.0000
  CAT_1252                             3.3776     3.3776     0.0000     0.0000     0.0000     0.6296     0.6296     1.0000     0.0000     0.0000     0.0000     0.0000
  CAT_1275                             1.2523     1.2523     0.0000     0.0000     0.0000     0.2418     0.2418     1.0000     0.0000     0.0000     0.0000     0.0000
  CAT_1294                             1.4724     1.4724     0.0000     0.0000     0.0000     0.2839     0.2839     1.0000     0.0000     0.0000     0.0000     0.0000
  CAT_1314                             0.8914     0.8914     0.0000     0.0000     0.0000     0.1738     0.1738     1.0000     0.0000     0.0000     0.0000     0.0000
  CAT_1328                             0.4830     0.4830     0.0000     0.0000     0.0000     0.0949     0.0949     1.0000     0.0000     0.0000     0.0000     0.0000
  CAT_1369                             2.2812     2.2812     0.0000     0.0000     0.0000     0.4338     0.4338     1.0000     0.0000     0.0000     0.0000     0.0000

************************************
*Node Depth Statistics Comparisons *
************************************
  Node ID                            Mean Sim   Mean Obs       RMSE        MAE      MSLSE    STD Sim    STD Obs Skewn..Sim Skew...Obs  Kurt..Sim  Kurt..Obs    Index D           Log  NSE Nash-Sutcliffe
  4577                              724.3565   723.9784     0.8623     0.3784     0.0000    17.6376    17.6634     1.0000     0.0000     0.0000     0.0000     0.0000
  4743                                1.8309     1.9037     0.1407     0.0870     0.0000     0.1064     0.1100     0.9943     0.0000     0.0000     0.0000     0.0000
  4743-2                              0.0494     0.0518     0.0506     0.0044     0.0000     0.0172     0.0171     0.9694     0.0000     0.0000     0.0000     0.0000
  6501                                0.5868     0.5870     0.0036     0.0008     0.0000     0.0656     0.0657     1.0000     0.0000     0.0000     0.0000     0.0000
  6502                                0.5572     0.5572     0.0044     0.0006     0.0000     0.0647     0.0648     1.0000     0.0000     0.0000     0.0000     0.0000
  6503                                0.4953     0.4954     0.0029     0.0003     0.0000     0.0608     0.0608     1.0000     0.0000     0.0000     0.0000     0.0000
  6504                                0.4626     0.4625     0.0013     0.0003     0.0000     0.0604     0.0604     1.0000     0.0000     0.0000     0.0000     0.0000
  6507                                0.5056     0.5056     0.0005     0.0001     0.0000     0.0625     0.0625     1.0000     0.0000     0.0000     0.0000     0.0000
  6515                                0.7075     0.7075     0.0032     0.0005     0.0000     0.0471     0.0471     1.0000     0.0000     0.0000     0.0000     0.0000
  6516                                0.4767     0.4767     0.0029     0.0005     0.0000     0.0407     0.0407     1.0000     0.0000     0.0000     0.0000     0.0000
  6517                                0.3262     0.3261     0.0017     0.0004     0.0000     0.0291     0.0291     1.0000     0.0000     0.0000     0.0000     0.0000
  6518                                0.7806     0.7793     0.0197     0.0025     0.0000     0.0846     0.0845     0.9998     0.0000     0.0000     0.0000     0.0000
